"TableName","ColumnName","ColumnData"
"AR_TRANSACTIONS","AR_CONTROL_ACCT","02-00-00-1201"
"BILLGL","ACCT_CODE","02-00-00-1201"
"GLACCOUNT","GL_ACCT_ID","02-00-00-1201"
"GLTRANS","GL_ACCT_ID","02-00-00-1201"
"GLACCOUNT_TMP","GL_ACCT_ID","02-00-00-1201"
"BILLGL_PLUS_IPGL","ACCT_CODE","02-00-00-1201"
"AR_SUM","AR_CONTROL_ACCT","02-00-00-1201"
"GLACCOUNT_FAST_AUTH","GL_ACCT_ID","02-00-00-1201"
"GLTRANS_REC_TOTALS_VIEW","GL_ACCT_ID","02-00-00-1201"
"GLACCOUNT_ALL","GL_ACCT_ID","02-00-00-1201"
"GLACCOUNT_AUTH","GL_ACCT_ID","02-00-00-1201"
"VIEW_BILLGL","ACCT_CODE","02-00-00-1201"
"VIEW_GLACCOUNT","GL_ACCT_ID","02-00-00-1201"
"AR_SUM_ALL","AR_CONTROL_ACCT","02-00-00-1201"
"AR_SUM_AUTH","AR_CONTROL_ACCT","02-00-00-1201"
"AR_TRANSACTIONS_ALL","AR_CONTROL_ACCT","02-00-00-1201"
"AR_TRANSACTIONS_AUTH","AR_CONTROL_ACCT","02-00-00-1201"
